"table_schema","table_name","column_name"
public,luogo,hotel
public,partner,attivo
public,partner,catfish
public,partner,parco
public,partner,grindr_screen
public,partner,logseq
public,partner,telegram
public,sega,dildo
public,sesh,pento
public,sex,droghe_offerte
public,sex,overdose
public,sex,mia_iniz
public,sex,video
public,sex,audio
public,sex,lui_succhia
public,sex,io_scopo
public,sex,io_succhio
public,sex,lui_scopa
public,sex,bb
public,sex,record
public,sex,lube
public,sex,dom
public,sex,dolore
public,sex,chiacchiere
public,sex,kink
public,sex,viene_sega
public,sex,completo
public,sex,fuori
public,sex,cruising
